Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
April,7,0,0,0,15,8,0,0,0,0,0,0,10,0,0,0,3,6,0,0,1,2,3,16,13,10,0,0,0,0,0,0,0
April,8,0,0,0,170,10,0,0,0,0,0,2,8,0,0,0,4,4,0,0,3,1,9,12,15,12,2,1,1,0,0,0,0
April,9,0,0,0,275,12,0,1,0,0,0,1,19,0,0,0,14,2,0,0,5,2,1,14,12,14,5,0,4,0,0,0,0
April,10,0,0,0,285,10,0,1,0,0,0,1,17,0,0,0,6,5,0,0,6,3,3,26,10,9,1,0,0,0,0,0,0
April,11,0,0,0,236,15,0,0,0,0,0,3,23,0,0,0,8,1,0,0,5,2,5,28,7,17,1,0,0,0,0,0,0
April,12,0,0,0,206,10,0,0,0,0,0,0,19,0,0,0,5,5,0,0,6,3,6,20,14,20,2,0,1,1,0,0,0
April,13,0,0,0,82,0,0,0,0,0,0,0,10,0,0,0,1,5,0,0,3,0,3,17,11,9,0,0,0,0,0,0,0
April,14,0,0,0,8,4,0,0,0,0,0,0,9,1,0,0,3,2,0,0,0,0,2,19,8,7,0,1,0,0,0,0,0
April,15,0,0,0,115,11,0,1,0,0,0,2,11,0,0,0,11,4,0,0,6,0,7,26,14,20,0,0,0,0,0,0,0
April,16,0,0,0,293,13,0,0,0,0,0,1,14,0,0,0,4,6,0,0,5,5,9,25,17,14,2,1,0,1,0,0,0
April,17,0,0,0,267,18,0,1,0,0,0,0,16,0,0,1,18,3,0,0,2,2,3,25,14,19,2,0,1,0,0,0,0
April,18,0,0,0,261,18,0,1,0,0,0,2,11,0,0,0,14,6,0,0,5,2,9,24,29,16,1,0,1,0,0,0,0
April,19,0,0,0,223,8,0,2,0,0,0,2,11,0,0,0,5,4,0,0,0,2,5,28,13,21,0,0,0,0,0,0,0
April,20,0,0,0,65,0,0,1,0,0,0,0,6,0,0,0,2,5,0,0,2,1,5,24,4,5,0,0,0,0,0,0,0
April,21,0,0,0,18,4,0,0,0,0,0,2,6,0,0,0,4,5,0,0,0,1,2,19,18,12,0,0,0,0,0,0,0
April,22,0,0,0,167,18,0,1,0,0,0,1,18,0,0,0,10,6,0,0,6,1,5,25,16,22,0,0,1,1,0,0,0
April,23,0,0,0,303,16,0,0,0,0,0,2,21,0,0,0,13,7,0,0,6,2,12,27,14,21,1,0,0,0,0,0,0
April,24,0,0,0,280,13,0,2,0,0,0,1,17,0,0,0,4,4,0,0,12,2,1,30,23,15,1,0,2,1,0,0,0
April,25,0,0,0,268,17,0,1,0,0,0,1,16,0,0,0,10,7,0,0,3,2,12,19,15,17,0,0,0,1,0,0,0
April,26,0,0,0,301,7,0,1,0,0,0,1,13,0,0,0,5,5,0,0,7,2,11,21,14,20,0,0,1,0,0,0,0
April,27,0,0,0,83,0,0,1,0,0,0,0,11,0,0,0,7,2,0,0,3,2,7,17,5,24,0,0,1,0,0,0,0
April,28,0,0,0,38,9,0,0,0,0,0,1,8,0,0,0,3,5,0,0,3,3,3,25,14,16,0,3,0,0,0,0,1
April,29,0,0,0,166,17,0,1,0,0,0,0,18,0,0,0,4,4,0,0,6,4,7,24,21,23,0,0,0,0,0,0,1
April,30,0,0,0,363,12,0,1,0,0,0,1,22,0,0,1,10,6,0,0,8,2,4,25,14,15,1,0,2,1,0,0,0
